MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Longitude,Latitude,Country,State,City
963964,15,4.8,1.5,47946,3.4,-118.0,34.0,India,Maharashtra,Pune
196845,31,4.0,2.2,40913,2.9,-118.0,34.0,India,Tamil Nadu,Coimbatore
857339,50,1.7,1.2,87355,3.2,-118.0,34.0,India,Maharashtra,Pune
960176,15,4.1,1.1,28425,3.7,-118.0,34.0,India,West Bengal,Durgapur
522447,44,3.7,1.7,20587,4.7,-118.0,34.0,India,Kerala,Kozhikode
125239,37,2.7,1.7,23651,2.9,-118.0,34.0,India,Karnataka,Mysuru
160056,40,3.9,2.0,45783,2.6,-118.0,34.0,India,Maharashtra,Nagpur
230456,42,3.6,2.3,26880,4.3,-118.0,34.0,India,Maharashtra,Mumbai
731181,44,2.0,1.3,26810,5.8,-118.0,34.0,India,Uttar Pradesh,Kanpur
466958,0,4.5,3.4,3880,3.4,-118.0,34.0,India,Karnataka,Mysuru
120198,25,3.2,1.3,80140,2.9,-118.0,34.0,India,Gujarat,Ahmedabad
537525,50,4.7,2.9,51201,2.1,-118.0,34.0,India,Kerala,Thiruvananthapuram
785829,42,2.4,1.0,92002,2.4,-118.0,34.0,India,Rajasthan,Jaipur
973626,4,5.9,4.4,7403,4.5,-118.0,34.0,India,Gujarat,Vadodara
688235,19,2.7,1.7,99832,2.1,-118.0,34.0,India,Rajasthan,Udaipur
193838,22,5.1,4.1,33911,3.1,-118.0,34.0,India,Telangana,Nizamabad
708375,10,1.7,1.2,17021,4.1,-118.0,34.0,India,Rajasthan,Jaipur
164349,14,3.8,2.7,65631,3.8,-118.0,34.0,India,Maharashtra,Mumbai
187378,5,3.3,1.3,58770,2.1,-118.0,34.0,India,Delhi,Dwarka
919297,28,4.8,4.3,37649,4.7,-118.0,34.0,India,Karnataka,Hubli
469793,19,3.5,1.9,77703,2.1,-118.0,34.0,India,Maharashtra,Nagpur
165176,1,4.9,2.9,73173,2.6,-118.0,34.0,India,Rajasthan,Udaipur
820744,43,5.8,3.4,80125,3.9,-118.0,34.0,India,Maharashtra,Mumbai
762940,6,5.9,3.9,26061,3.3,-118.0,34.0,India,Telangana,Warangal
587285,30,3.5,2.8,11623,2.3,-118.0,34.0,India,Gujarat,Vadodara
378765,38,4.9,3.7,50943,4.9,-118.0,34.0,India,Telangana,Nizamabad
907286,28,2.6,1.1,55039,5.4,-118.0,34.0,India,Tamil Nadu,Madurai
447541,34,3.6,2.2,98846,4.7,-118.0,34.0,India,Maharashtra,Nagpur
815359,16,4.7,3.9,26291,4.4,-118.0,34.0,India,Gujarat,Surat
721060,41,2.3,1.1,81265,3.3,-118.0,34.0,India,Telangana,Warangal
328090,19,2.7,1.5,70767,3.2,-118.0,34.0,India,Delhi,New Delhi
412924,3,5.2,2.1,39895,5.6,-118.0,34.0,India,Rajasthan,Jodhpur
245837,33,6.0,2.8,12175,3.3,-118.0,34.0,India,Telangana,Warangal
480299,1,2.8,1.2,70337,3.8,-118.0,34.0,India,Kerala,Thiruvananthapuram
142134,28,3.2,2.5,19075,2.3,-118.0,34.0,India,Tamil Nadu,Coimbatore
825101,2,4.5,3.8,83028,2.4,-118.0,34.0,India,Karnataka,Hubli
246427,36,4.3,3.3,87455,2.7,-118.0,34.0,India,Karnataka,Mysuru
481605,22,4.3,3.7,40490,3.7,-118.0,34.0,India,Uttar Pradesh,Varanasi
526729,11,5.9,4.9,50174,3.0,-118.0,34.0,India,Gujarat,Ahmedabad
867530,26,4.5,2.0,93145,5.8,-118.0,34.0,India,Uttar Pradesh,Lucknow
835379,20,5.7,4.5,1360,3.3,-118.0,34.0,India,Kerala,Kochi
689369,0,2.2,1.4,7805,3.3,-118.0,34.0,India,Karnataka,Mysuru
170749,27,4.1,2.4,14968,5.7,-118.0,34.0,India,Gujarat,Surat
144031,48,4.5,2.2,34922,2.4,-118.0,34.0,India,Maharashtra,Pune
151717,50,5.0,1.9,70851,3.6,-118.0,34.0,India,Uttar Pradesh,Lucknow
796353,26,5.6,1.5,31605,5.9,-118.0,34.0,India,Delhi,Dwarka
744196,19,4.6,2.9,55382,2.9,-118.0,34.0,India,Telangana,Warangal
729798,33,2.2,1.4,89408,3.7,-118.0,34.0,India,Karnataka,Mysuru
290933,40,4.2,2.9,86522,4.7,-118.0,34.0,India,Rajasthan,Udaipur
397051,48,3.6,2.2,40241,4.1,-118.0,34.0,India,Uttar Pradesh,Varanasi
282393,7,2.5,1.0,99594,2.5,-118.0,34.0,India,Rajasthan,Jaipur
657122,2,1.5,1.0,80429,3.9,-118.0,34.0,India,Gujarat,Surat
916130,33,2.2,1.4,73753,3.1,-118.0,34.0,India,Delhi,Dwarka
749164,3,3.7,1.6,17112,4.3,-118.0,34.0,India,Tamil Nadu,Coimbatore
453991,7,2.6,1.3,37698,2.0,-118.0,34.0,India,Rajasthan,Udaipur
245935,17,1.6,1.0,28393,5.1,-118.0,34.0,India,Karnataka,Hubli
104772,30,5.9,3.7,17868,4.8,-118.0,34.0,India,Tamil Nadu,Madurai
885042,40,3.8,3.1,46891,4.5,-118.0,34.0,India,Rajasthan,Udaipur
602784,5,2.5,1.9,87187,4.9,-118.0,34.0,India,Telangana,Hyderabad
860816,20,5.8,3.2,84696,3.6,-118.0,34.0,India,Kerala,Thiruvananthapuram
175521,3,5.2,2.3,28834,4.8,-118.0,34.0,India,Maharashtra,Pune
399903,47,2.4,1.8,13239,2.8,-118.0,34.0,India,Uttar Pradesh,Lucknow
846857,35,5.5,4.5,81842,3.1,-118.0,34.0,India,West Bengal,Durgapur
310490,6,5.3,4.4,74948,2.7,-118.0,34.0,India,Telangana,Hyderabad
479707,13,2.0,1.2,8842,4.8,-118.0,34.0,India,Tamil Nadu,Chennai
601332,9,2.5,2.0,37523,2.6,-118.0,34.0,India,Telangana,Nizamabad
743173,4,3.4,1.0,74150,4.1,-118.0,34.0,India,West Bengal,Howrah
947598,16,5.2,4.3,36177,3.6,-118.0,34.0,India,West Bengal,Durgapur
101498,10,3.1,2.0,31680,2.2,-118.0,34.0,India,Tamil Nadu,Madurai
845645,28,3.0,1.2,60924,3.8,-118.0,34.0,India,Delhi,Rohini
862656,18,4.8,3.8,72070,5.2,-118.0,34.0,India,Telangana,Nizamabad
965190,49,2.3,1.8,35130,3.7,-118.0,34.0,India,Tamil Nadu,Madurai
325012,30,3.0,1.8,74570,4.8,-118.0,34.0,India,Uttar Pradesh,Lucknow
530873,49,3.9,2.3,24440,2.9,-118.0,34.0,India,Telangana,Warangal
654661,13,5.7,2.4,45879,3.2,-118.0,34.0,India,Uttar Pradesh,Lucknow
508584,15,2.2,1.1,63659,6.0,-118.0,34.0,India,Karnataka,Bengaluru
393548,17,5.9,4.2,25329,2.2,-118.0,34.0,India,Tamil Nadu,Chennai
167194,13,3.6,1.8,19988,2.5,-118.0,34.0,India,Maharashtra,Pune
391977,41,4.7,4.1,8582,2.9,-118.0,34.0,India,Rajasthan,Jodhpur
985519,47,6.0,3.7,29745,2.6,-118.0,34.0,India,Kerala,Kozhikode
584757,42,2.4,1.8,86386,2.9,-118.0,34.0,India,Delhi,Rohini
298646,27,4.9,3.6,2779,2.0,-118.0,34.0,India,Tamil Nadu,Chennai
335458,3,4.7,2.6,99911,4.8,-118.0,34.0,India,Gujarat,Surat
207684,22,5.2,4.4,2552,4.3,-118.0,34.0,India,Tamil Nadu,Coimbatore
923666,14,5.2,4.0,89755,2.8,-118.0,34.0,India,Telangana,Hyderabad
305504,38,3.0,1.8,71959,5.2,-118.0,34.0,India,Karnataka,Hubli
506120,30,3.7,3.2,58892,6.0,-118.0,34.0,India,Uttar Pradesh,Kanpur
608317,6,4.4,3.2,58257,4.3,-118.0,34.0,India,Telangana,Hyderabad
128831,9,5.3,2.0,50687,5.9,-118.0,34.0,India,Tamil Nadu,Madurai
870332,35,3.8,1.4,80009,2.5,-118.0,34.0,India,Telangana,Nizamabad
615747,26,3.6,2.1,50003,4.3,-118.0,34.0,India,Rajasthan,Jodhpur
862965,38,3.8,1.1,20186,5.9,-118.0,34.0,India,Telangana,Hyderabad
700915,14,3.9,1.2,59425,2.8,-118.0,34.0,India,West Bengal,Kolkata
628599,20,5.9,3.7,81760,5.8,-118.0,34.0,India,Gujarat,Ahmedabad
360645,18,3.1,1.5,54784,5.5,-118.0,34.0,India,Kerala,Kochi
509545,4,5.0,4.0,7812,5.1,-118.0,34.0,India,Delhi,Dwarka
123415,15,3.4,2.4,28868,4.9,-118.0,34.0,India,Karnataka,Hubli
202119,9,1.6,1.0,62623,2.1,-118.0,34.0,India,Karnataka,Hubli
783898,4,2.3,1.6,35067,3.4,-118.0,34.0,India,Kerala,Kochi
567799,0,6.0,1.7,87299,4.3,-118.0,34.0,India,Gujarat,Surat
431248,42,1.8,1.3,27184,3.2,-118.0,34.0,India,Uttar Pradesh,Varanasi
172049,10,1.8,1.0,2614,3.0,-118.0,34.0,India,Maharashtra,Nagpur
764548,3,3.9,3.0,56224,3.9,-118.0,34.0,India,Delhi,New Delhi
759027,26,5.2,3.6,55226,4.9,-118.0,34.0,India,Gujarat,Vadodara
665152,29,4.0,2.8,7675,5.3,-118.0,34.0,India,Delhi,Rohini
905149,40,1.7,1.0,17448,4.8,-118.0,34.0,India,West Bengal,Howrah
915507,22,3.4,1.3,76899,2.3,-118.0,34.0,India,Rajasthan,Jaipur
594391,12,3.4,1.5,16459,2.8,-118.0,34.0,India,Tamil Nadu,Chennai
671700,28,3.7,2.7,97662,2.1,-118.0,34.0,India,West Bengal,Durgapur
743256,29,2.5,1.9,66484,3.1,-118.0,34.0,India,Kerala,Thiruvananthapuram
894247,31,4.6,1.1,75337,3.8,-118.0,34.0,India,Tamil Nadu,Chennai
317786,21,5.0,3.6,62808,3.7,-118.0,34.0,India,Gujarat,Ahmedabad
132125,34,5.4,2.6,38268,2.4,-118.0,34.0,India,West Bengal,Durgapur
803590,29,4.9,2.2,73561,4.0,-118.0,34.0,India,Uttar Pradesh,Varanasi
984518,44,3.1,2.5,92571,4.2,-118.0,34.0,India,Delhi,Dwarka
873940,45,1.6,1.0,31254,4.1,-118.0,34.0,India,West Bengal,Howrah
657051,16,2.4,1.5,54580,3.7,-118.0,34.0,India,West Bengal,Howrah
897818,37,5.5,1.5,23723,5.3,-118.0,34.0,India,Tamil Nadu,Coimbatore
842865,42,4.4,3.4,84587,2.2,-118.0,34.0,India,Kerala,Kozhikode
797839,13,5.6,1.5,91700,5.2,-118.0,34.0,India,Tamil Nadu,Chennai
271258,29,5.9,4.6,6843,4.3,-118.0,34.0,India,Delhi,New Delhi
750887,50,1.6,1.0,66878,3.0,-118.0,34.0,India,Gujarat,Vadodara
323588,39,3.6,1.8,33966,4.6,-118.0,34.0,India,Delhi,Rohini
498860,9,4.0,1.3,30193,3.4,-118.0,34.0,India,Telangana,Hyderabad
660151,15,1.7,1.0,51641,3.9,-118.0,34.0,India,Maharashtra,Mumbai
969915,20,3.4,2.5,76980,4.2,-118.0,34.0,India,Uttar Pradesh,Lucknow
833603,14,2.7,1.4,12162,5.4,-118.0,34.0,India,Kerala,Kochi
390735,17,5.8,3.7,88183,5.6,-118.0,34.0,India,Delhi,Dwarka
878657,5,4.4,2.7,37234,3.5,-118.0,34.0,India,Delhi,Dwarka
739053,5,2.3,1.1,16437,2.1,-118.0,34.0,India,West Bengal,Howrah
944407,49,6.0,3.1,79814,3.1,-118.0,34.0,India,Uttar Pradesh,Varanasi
956735,34,4.2,3.2,45195,2.6,-118.0,34.0,India,Rajasthan,Udaipur
922454,3,3.3,2.5,77855,4.5,-118.0,34.0,India,Maharashtra,Pune
420047,32,2.6,2.1,99192,5.9,-118.0,34.0,India,Uttar Pradesh,Varanasi
741159,25,1.5,1.0,44216,3.2,-118.0,34.0,India,Tamil Nadu,Chennai
541571,28,2.7,1.2,82591,2.1,-118.0,34.0,India,Uttar Pradesh,Varanasi
299204,22,2.0,1.2,70624,4.0,-118.0,34.0,India,Telangana,Warangal
329001,6,2.0,1.3,7936,2.1,-118.0,34.0,India,Uttar Pradesh,Varanasi
619564,5,3.9,1.2,83205,5.7,-118.0,34.0,India,Maharashtra,Mumbai
991033,4,1.9,1.2,18705,5.1,-118.0,34.0,India,Maharashtra,Mumbai
362360,24,1.5,1.0,34001,6.0,-118.0,34.0,India,Rajasthan,Jaipur
678211,44,5.6,3.8,43420,3.1,-118.0,34.0,India,West Bengal,Durgapur
878087,26,5.0,4.5,68810,3.0,-118.0,34.0,India,Maharashtra,Mumbai
106263,37,1.7,1.2,64516,5.9,-118.0,34.0,India,Tamil Nadu,Chennai
443709,36,2.5,1.8,49327,2.6,-118.0,34.0,India,Uttar Pradesh,Lucknow
739345,34,1.8,1.2,84301,4.3,-118.0,34.0,India,Maharashtra,Nagpur
476029,35,2.3,1.8,75001,5.7,-118.0,34.0,India,Delhi,Dwarka
943408,35,2.1,1.5,31296,5.6,-118.0,34.0,India,Uttar Pradesh,Varanasi
433595,21,4.8,2.3,95345,4.3,-118.0,34.0,India,Maharashtra,Pune
691177,6,5.4,1.8,77822,4.4,-118.0,34.0,India,Karnataka,Hubli
307663,28,3.7,1.6,94489,4.7,-118.0,34.0,India,Telangana,Warangal
101075,18,2.2,1.2,60454,2.8,-118.0,34.0,India,West Bengal,Durgapur
795498,32,3.2,1.8,13508,3.5,-118.0,34.0,India,Karnataka,Hubli
701804,36,3.0,1.1,20755,6.0,-118.0,34.0,India,Tamil Nadu,Chennai
392654,48,4.2,3.1,43847,2.9,-118.0,34.0,India,Uttar Pradesh,Kanpur
725657,5,1.9,1.4,20972,5.1,-118.0,34.0,India,West Bengal,Howrah
245237,26,4.5,2.0,30371,3.1,-118.0,34.0,India,Karnataka,Bengaluru
139515,9,3.1,1.7,91015,5.3,-118.0,34.0,India,Uttar Pradesh,Varanasi
559637,16,3.9,2.6,14103,5.1,-118.0,34.0,India,Kerala,Kozhikode
937727,38,3.2,2.4,97086,4.0,-118.0,34.0,India,Tamil Nadu,Chennai
262928,48,4.1,1.1,23402,4.3,-118.0,34.0,India,Delhi,New Delhi
771881,49,5.3,3.8,76108,3.3,-118.0,34.0,India,Gujarat,Ahmedabad
371452,2,3.6,1.6,4714,5.2,-118.0,34.0,India,Maharashtra,Pune
932615,45,4.3,3.4,65164,5.4,-118.0,34.0,India,Kerala,Kozhikode
531836,27,2.1,1.0,85293,3.0,-118.0,34.0,India,Uttar Pradesh,Lucknow
140311,32,4.4,1.8,63241,4.1,-118.0,34.0,India,Telangana,Nizamabad
232467,48,2.7,2.0,32599,5.2,-118.0,34.0,India,Rajasthan,Udaipur
250682,47,5.7,1.1,48447,2.2,-118.0,34.0,India,Rajasthan,Udaipur
291032,13,3.4,1.6,59294,4.1,-118.0,34.0,India,West Bengal,Kolkata
100255,20,1.9,1.3,75307,3.9,-118.0,34.0,India,Uttar Pradesh,Kanpur
802887,24,1.9,1.3,20293,2.1,-118.0,34.0,India,Karnataka,Mysuru
382020,18,4.4,1.9,8907,4.4,-118.0,34.0,India,Karnataka,Mysuru
979834,37,5.9,3.9,44046,5.1,-118.0,34.0,India,Maharashtra,Mumbai
264054,42,5.1,2.2,2594,4.5,-118.0,34.0,India,Rajasthan,Jodhpur
158532,23,4.6,3.3,17508,3.9,-118.0,34.0,India,Tamil Nadu,Chennai
273040,29,5.3,2.8,67920,5.2,-118.0,34.0,India,Telangana,Warangal
882345,36,5.6,1.9,97275,5.0,-118.0,34.0,India,Gujarat,Ahmedabad
655751,3,3.0,1.1,66486,3.5,-118.0,34.0,India,Tamil Nadu,Chennai
795266,34,4.6,2.2,47582,2.6,-118.0,34.0,India,Maharashtra,Pune
106596,42,2.6,1.7,92632,5.0,-118.0,34.0,India,Uttar Pradesh,Varanasi
425620,31,3.4,2.2,87215,3.5,-118.0,34.0,India,West Bengal,Kolkata
305704,12,3.1,2.1,83294,2.5,-118.0,34.0,India,West Bengal,Kolkata
784900,17,4.2,2.5,79343,3.9,-118.0,34.0,India,Kerala,Kochi
488960,2,1.6,1.0,98208,3.4,-118.0,34.0,India,Rajasthan,Udaipur
338620,7,3.6,2.2,85889,4.3,-118.0,34.0,India,Telangana,Nizamabad
804549,45,2.2,1.4,15739,2.5,-118.0,34.0,India,Kerala,Kochi
838962,47,1.7,1.1,5076,2.1,-118.0,34.0,India,Rajasthan,Udaipur
851178,46,1.7,1.2,89687,5.1,-118.0,34.0,India,Delhi,Rohini
807206,0,5.4,2.0,61937,3.6,-118.0,34.0,India,Gujarat,Vadodara
322140,41,1.7,1.1,63885,5.5,-118.0,34.0,India,West Bengal,Howrah
812950,37,3.0,1.7,61287,5.5,-118.0,34.0,India,West Bengal,Kolkata
700329,40,5.9,2.3,43317,4.0,-118.0,34.0,India,Delhi,Rohini
250803,45,5.9,5.0,97444,2.7,-118.0,34.0,India,Delhi,Dwarka
619108,19,5.9,2.1,37516,3.9,-118.0,34.0,India,Gujarat,Surat
395285,36,2.5,1.9,65666,4.1,-118.0,34.0,India,Kerala,Kozhikode
124188,13,4.1,2.2,51012,2.4,-118.0,34.0,India,Telangana,Hyderabad
905480,42,5.9,2.4,66980,2.3,-118.0,34.0,India,Karnataka,Mysuru
917236,31,3.2,2.6,39058,4.2,-118.0,34.0,India,Delhi,Dwarka
858400,24,3.5,3.0,22503,2.8,-118.0,34.0,India,Uttar Pradesh,Lucknow
500046,43,4.1,2.6,83258,2.5,-118.0,34.0,India,Kerala,Kochi
603499,43,4.9,2.8,80056,5.0,-118.0,34.0,India,West Bengal,Durgapur
177858,40,5.2,4.2,47584,3.0,-118.0,34.0,India,Karnataka,Mysuru
625465,19,4.9,2.0,24164,2.3,-118.0,34.0,India,Gujarat,Ahmedabad
952959,18,4.4,2.6,18791,4.5,-118.0,34.0,India,Kerala,Thiruvananthapuram
